id,week,day,hours,week_total
1,1,monday,0,21
2,1,tuesday,4,21
3,1,wednesday,4,21
4,1,thursday,7,21
5,1,friday,6,21
6,1,saturday,0,21
7,1,sunday,0,21
8,2,monday,3,14
9,2,tuesday,3,14
10,2,wednesday,3,14
11,2,thursday,2,14
12,2,friday,2,14
13,2,saturday,0,14
14,2,sunday,1,14
15,3,monday,5,17
16,3,tuesday,4,17
17,3,wednesday,0,17
18,3,thursday,7,17
19,3,friday,1,17
20,3,saturday,0,17
21,3,sunday,0,17
22,4,monday,0,18
23,4,tuesday,3,18
24,4,wednesday,6,18
25,4,thursday,4,18
26,4,friday,0,18
27,4,saturday,0,18
28,4,sunday,5,18
29,5,monday,2,11
30,5,tuesday,5,11
31,5,wednesday,4,11
32,5,thursday,0,11
33,5,friday,0,11
34,5,saturday,0,11
35,5,sunday,0,11
36,6,monday,5,23
37,6,tuesday,0,23
38,6,wednesday,2,23
39,6,thursday,7,23
40,6,friday,4,23
41,6,saturday,3,23
42,6,sunday,2,23
43,7,monday,4,14
44,7,tuesday,3,14
45,7,wednesday,5,14
46,7,thursday,1,14
47,7,friday,0,14
48,7,saturday,1,14
49,7,sunday,0,14
50,8,monday,6,19
51,8,tuesday,3,19
52,8,wednesday,5,19
53,8,thursday,0,19
54,8,friday,0,19
55,8,saturday,5,19
56,8,sunday,0,19
57,9,monday,4,21
58,9,tuesday,8,21
59,9,wednesday,0,21
60,9,thursday,5,21
61,9,friday,4,21
62,9,saturday,0,21
63,9,sunday,0,21
64,10,monday,0,2
65,10,tuesday,0,2
66,10,wednesday,0,2
67,10,thursday,0,2
68,10,friday,2,2
69,10,saturday,0,2
70,10,sunday,0,2
71,11,monday,0,6
72,11,tuesday,4,6
73,11,wednesday,0,6
74,11,thursday,2,6
75,11,friday,0,6
76,11,saturday,0,6
77,11,sunday,0,6
78,12,monday,0,1
79,12,tuesday,0,1
80,12,wednesday,0,1
81,12,thursday,0,1
82,12,friday,1,1
83,12,saturday,0,1
84,12,sunday,0,1
85,14,monday,2,18
86,14,tuesday,7,18
87,14,wednesday,2,18
88,14,thursday,5,18
89,14,friday,2,18
90,14,saturday,0,18
91,14,sunday,0,18
92,15,monday,0,26
93,15,tuesday,3,26
94,15,wednesday,6,26
95,15,thursday,3,26
96,15,friday,7,26
97,15,saturday,0,26
98,15,sunday,7,26
99,16,monday,7,25
100,16,tuesday,7,25
101,16,wednesday,0,25
102,16,thursday,0,25
103,16,friday,4,25
104,16,saturday,1,25
105,16,sunday,6,25
106,17,monday,0,6
107,17,tuesday,2,6
108,17,wednesday,0,6
109,17,thursday,4,6
110,17,friday,0,6
111,17,saturday,0,6
112,17,sunday,0,6
113,20,monday,0,5
114,20,tuesday,0,5
115,20,wednesday,0,5
116,20,thursday,0,5
117,20,friday,0,5
118,20,saturday,1,5
119,20,sunday,4,5
120,21,monday,2,10
121,21,tuesday,3,10
122,21,wednesday,3,10
123,21,thursday,2,10
124,21,friday,0,10
125,21,saturday,0,10
126,21,sunday,0,10
127,22,monday,4,14
128,22,tuesday,4,14
129,22,wednesday,2,14
130,22,thursday,4,14
131,22,friday,0,14
132,22,saturday,0,14
133,22,sunday,0,14
134,23,monday,0,17
135,23,tuesday,4,17
136,23,wednesday,0,17
137,23,thursday,0,17
138,23,friday,9,17
139,23,saturday,2,17
140,23,sunday,2,17
141,34,monday,0,8
142,34,tuesday,2,8
143,34,wednesday,0,8
144,34,thursday,3,8
145,34,friday,3,8
146,34,saturday,0,8
147,34,sunday,0,8
148,35,monday,3,8
149,35,tuesday,2,8
150,35,wednesday,0,8
151,35,thursday,0,8
152,35,friday,3,8
153,35,saturday,0,8
154,35,sunday,0,8
155,36,monday,6,14
156,36,tuesday,0,14
157,36,wednesday,0,14
158,36,thursday,0,14
159,36,friday,3,14
160,36,saturday,0,14
161,36,sunday,5,14
162,37,monday,0,14
163,37,tuesday,5,14
164,37,wednesday,7,14
165,37,thursday,1,14
166,37,friday,1,14
167,37,saturday,0,14
168,37,sunday,0,14
169,38,monday,5,14
170,38,tuesday,5,14
171,38,wednesday,3,14
172,38,thursday,0,14
173,38,friday,0,14
174,38,saturday,1,14
175,38,sunday,0,14
176,39,monday,4,20
177,39,tuesday,6,20
178,39,wednesday,0,20
179,39,thursday,7,20
180,39,friday,3,20
181,39,saturday,0,20
182,39,sunday,0,20
183,40,monday,4,18
184,40,tuesday,4,18
185,40,wednesday,4,18
186,40,thursday,4,18
187,40,friday,2,18
188,40,saturday,0,18
189,40,sunday,0,18
190,43,monday,0,7
191,43,tuesday,3,7
192,43,wednesday,0,7
193,43,thursday,4,7
194,43,friday,0,7
195,43,saturday,0,7
196,43,sunday,0,7
197,44,monday,3,14
198,44,tuesday,0,14
199,44,wednesday,0,14
200,44,thursday,5,14
201,44,friday,0,14
202,44,saturday,2,14
203,44,sunday,4,14
204,45,monday,4,17
205,45,tuesday,0,17
206,45,wednesday,6,17
207,45,thursday,3,17
208,45,friday,0,17
209,45,saturday,4,17
210,45,sunday,0,17
211,46,monday,0,2
212,46,tuesday,2,2
213,46,wednesday,0,2
214,46,thursday,0,2
215,46,friday,0,2
216,46,saturday,0,2
217,46,sunday,0,2
218,47,monday,2,10
219,47,tuesday,2,10
220,47,wednesday,2,10
221,47,thursday,2,10
222,47,friday,2,10
223,47,saturday,0,10
224,47,sunday,0,10
225,48,monday,3,18
226,48,tuesday,3,18
227,48,wednesday,3,18
228,48,thursday,4,18
229,48,friday,0,18
230,48,saturday,0,18
231,48,sunday,5,18
232,49,monday,3,13
233,49,tuesday,3,13
234,49,wednesday,3,13
235,49,thursday,4,13
236,49,friday,0,13
237,49,saturday,0,13
238,49,sunday,0,13
239,50,monday,7,17
240,50,tuesday,4,17
241,50,wednesday,1,17
242,50,thursday,5,17
243,50,friday,0,17
244,50,saturday,0,17
245,50,sunday,0,17
